rainfall_24h,rainfall_7d,temperature,humidity,wind_speed,elevation,river_proximity,flood_history_freq,soil_saturation_idx,population_density,risk_level
9.39,72.77,31.9,49.4,2.5,12.0,10.06,0.561,0.146,1088.0,1
0.14,0.44,24.8,71.5,7.7,10.0,18.2,0.24,0.001,12265.0,0
0.95,5.74,24.4,45.9,17.3,116.0,0.65,0.325,0.011,2202.0,0
16.77,52.94,20.7,90.5,9.0,100.6,13.06,0.088,0.106,9746.0,0
9.84,42.88,25.2,56.9,11.7,30.4,8.1,0.363,0.086,4426.0,0
52.16,326.25,33.3,94.9,28.5,119.4,0.5,0.624,0.653,964.0,2
12.78,45.99,33.8,73.7,22.1,136.2,3.7,0.375,0.092,2131.0,0
3.0,18.07,26.2,72.4,3.4,572.4,4.57,0.334,0.036,334.0,0
42.96,198.55,26.0,94.4,4.8,208.6,0.1,0.206,0.397,1990.0,1
2.55,11.97,25.0,96.6,5.9,146.3,6.07,0.31,0.024,2063.0,0
3.21,25.61,25.3,60.7,15.1,228.3,3.79,0.124,0.051,1384.0,0
26.05,126.08,35.4,77.9,15.1,153.5,0.47,0.137,0.252,2681.0,1
4.98,32.62,24.8,45.8,42.3,101.4,3.65,0.314,0.065,2339.0,0
5.97,37.59,33.2,89.0,12.2,150.9,1.38,0.236,0.075,3883.0,1
38.8,194.89,33.1,62.3,42.2,727.4,1.67,0.624,0.39,100.0,1
7.87,53.0,33.8,79.5,12.6,19.7,2.29,0.248,0.106,4751.0,1
20.72,131.45,26.6,91.9,3.9,138.3,4.24,0.245,0.263,4132.0,1
52.71,270.98,25.3,63.1,28.6,76.2,0.93,0.364,0.542,307.0,2
92.21,341.22,30.3,71.1,31.5,270.0,5.97,0.078,0.682,4984.0,1
18.91,64.44,24.7,93.2,0.4,173.0,2.89,0.337,0.129,5478.0,0
0.62,1.97,25.3,89.4,6.7,27.2,3.69,0.125,0.004,159.0,1
15.56,96.26,15.8,87.7,4.7,115.6,0.41,0.376,0.193,510.0,1
5.48,19.02,38.0,51.0,40.9,203.4,3.64,0.076,0.038,2504.0,0
28.36,87.13,26.6,45.9,10.1,128.3,0.95,0.373,0.174,139.0,1
0.31,2.36,19.4,70.1,11.6,230.4,4.78,0.236,0.005,2555.0,0
12.26,70.22,27.1,97.7,35.4,43.6,0.36,0.408,0.14,5591.0,1
8.33,35.84,29.2,69.8,17.7,85.6,13.8,0.298,0.072,1652.0,0
93.14,471.58,35.7,60.4,40.1,391.0,2.8,0.209,0.943,2111.0,2
7.71,57.69,29.6,63.4,0.2,471.6,0.48,0.326,0.115,2998.0,0
1.92,11.57,19.4,96.8,22.8,24.1,13.36,0.274,0.023,10388.0,0
28.67,174.62,38.1,46.1,1.3,241.4,0.38,0.268,0.349,12946.0,1
9.26,65.42,24.0,45.0,22.5,163.5,2.76,0.471,0.131,1897.0,0
27.02,184.68,22.0,89.4,20.5,228.5,1.36,0.486,0.369,1720.0,1
0.24,1.92,29.3,44.4,12.1,696.7,3.7,0.307,0.004,2633.0,0
0.93,4.1,39.2,97.0,33.1,121.6,4.84,0.187,0.008,2629.0,0
73.3,581.34,30.1,58.6,25.2,230.9,0.89,0.458,1.0,8097.0,2
16.04,61.34,36.9,64.7,22.5,130.9,21.09,0.553,0.123,2526.0,0
12.65,64.18,27.3,91.9,25.1,1500.0,28.47,0.298,0.128,415.0,0
6.42,25.93,31.7,92.7,21.2,10.0,1.56,0.304,0.052,1104.0,1
16.06,93.19,26.5,48.0,0.4,281.4,4.84,0.462,0.186,1295.0,1
20.25,116.91,25.9,45.5,19.4,158.6,3.0,0.186,0.234,4776.0,1
52.23,285.22,26.3,98.8,10.2,79.7,5.02,0.053,0.57,1272.0,2
41.48,231.3,22.4,98.4,13.8,50.7,8.62,0.174,0.463,2293.0,1
44.93,163.7,20.7,45.5,9.8,232.8,3.58,0.102,0.327,7733.0,1
19.26,93.31,28.2,67.8,20.6,10.0,1.45,0.32,0.187,340.0,1
8.74,43.59,29.8,50.9,12.5,367.4,0.47,0.252,0.087,1316.0,0
13.8,47.4,20.8,72.2,13.3,273.6,2.83,0.265,0.095,2537.0,0
86.12,519.23,25.8,49.2,4.2,35.0,1.03,0.224,1.0,12116.0,3
45.38,266.86,23.0,95.0,0.1,738.3,3.37,0.33,0.534,1942.0,1
29.35,115.5,23.4,70.5,4.2,24.4,4.72,0.089,0.231,2282.0,1
9.22,48.58,29.6,72.9,11.9,45.1,5.77,0.67,0.097,5706.0,0
2.65,17.66,28.5,74.5,27.7,30.1,7.93,0.269,0.035,3283.0,0
47.69,218.47,26.1,75.3,17.2,120.3,6.26,0.233,0.437,2585.0,1
45.97,226.13,33.4,77.5,1.9,562.1,4.94,0.248,0.452,2287.0,1
17.03,136.02,25.5,85.1,18.4,301.5,0.77,0.474,0.272,326.0,1
2.34,16.96,26.4,87.8,2.4,52.1,6.41,0.077,0.034,870.0,0
35.07,273.35,34.1,60.6,3.9,110.2,1.7,0.357,0.547,887.0,2
53.8,313.42,30.9,82.4,2.5,171.7,4.67,0.28,0.627,1798.0,1
5.38,20.6,28.6,51.2,27.3,80.7,1.87,0.517,0.041,690.0,0
0.09,0.43,33.1,95.2,6.4,85.2,6.69,0.025,0.001,582.0,0
3.62,11.47,19.0,58.7,22.7,65.0,1.24,0.453,0.023,2445.0,1
1.78,14.25,43.4,44.0,20.8,47.1,11.42,0.121,0.028,4482.0,0
15.0,85.09,21.4,68.9,10.3,289.9,0.54,0.198,0.17,6832.0,1
10.51,32.86,30.9,79.5,0.4,50.2,1.31,0.191,0.066,816.0,1
32.73,259.98,30.9,76.2,24.7,657.5,14.45,0.328,0.52,3009.0,0
4.66,14.6,30.0,65.3,33.5,340.1,2.09,0.06,0.029,2936.0,0
29.73,143.11,17.5,91.7,3.7,734.2,7.57,0.398,0.286,603.0,0
0.45,1.97,40.9,55.5,2.3,360.3,20.8,0.428,0.004,7371.0,0
33.75,185.32,23.3,44.0,7.8,137.6,6.37,0.203,0.371,3008.0,0
3.86,29.2,17.0,71.1,0.7,36.4,6.7,0.185,0.058,1022.0,0
25.57,154.74,31.5,97.0,7.6,616.2,0.73,0.058,0.309,5527.0,1
13.72,82.09,34.9,46.4,1.2,260.5,3.42,0.309,0.164,4820.0,0
6.35,37.81,25.6,61.7,1.4,498.5,0.74,0.204,0.076,6189.0,0
32.86,206.79,33.0,55.0,10.1,50.0,21.98,0.259,0.414,3586.0,1
4.28,15.3,28.8,65.3,23.8,273.3,0.28,0.817,0.031,1361.0,1
1.6,10.38,35.5,43.9,5.7,155.1,7.82,0.1,0.021,796.0,0
12.4,98.57,29.7,40.0,3.1,96.9,13.48,0.314,0.197,1524.0,0
10.82,55.24,22.8,46.6,6.6,67.7,1.76,0.388,0.11,3415.0,1
59.9,415.2,29.4,45.4,8.1,422.6,14.48,0.668,0.83,791.0,1
20.98,126.67,18.6,50.6,3.7,41.3,7.56,0.173,0.253,501.0,1
5.08,20.94,24.6,72.2,13.5,173.5,0.48,0.17,0.042,9347.0,1
33.16,208.14,22.9,64.5,7.0,60.2,6.43,0.332,0.416,2050.0,1
17.95,127.86,29.3,60.9,17.0,166.8,1.55,0.271,0.256,6059.0,1
8.13,34.09,22.4,92.9,48.8,125.3,10.56,0.416,0.068,100.0,0
35.69,197.64,31.8,40.4,5.1,191.9,19.87,0.066,0.395,4540.0,0
6.66,20.6,35.1,63.5,3.0,280.2,7.77,0.192,0.041,1925.0,0
19.4,62.64,24.4,92.3,54.5,694.0,6.92,0.377,0.125,1173.0,0
34.16,145.61,32.1,46.1,28.9,149.7,8.74,0.219,0.291,422.0,1
60.26,226.31,31.5,65.9,43.1,108.9,5.09,0.181,0.453,100.0,1
25.1,145.93,30.1,68.3,11.8,34.7,1.14,0.813,0.292,1045.0,2
19.18,133.9,21.8,47.5,17.4,112.5,1.12,0.245,0.268,4792.0,1
83.15,311.63,23.9,67.9,17.1,100.7,18.38,0.281,0.623,7152.0,2
13.1,46.17,28.0,77.1,18.2,164.0,0.1,0.16,0.092,101.0,1
10.11,37.05,28.2,74.1,17.5,322.5,1.12,0.377,0.074,160.0,0
24.69,181.61,33.4,60.4,25.3,16.7,11.26,0.382,0.363,2242.0,1
11.55,76.49,35.9,75.6,15.8,130.5,4.78,0.452,0.153,1706.0,1
3.53,10.95,20.1,72.5,10.2,17.0,2.58,0.617,0.022,574.0,1
25.98,174.4,25.8,65.5,6.4,92.7,21.97,0.033,0.349,6201.0,0
31.5,197.64,20.3,67.9,27.1,53.8,7.48,0.037,0.395,2156.0,0
38.54,210.46,35.7,54.8,30.7,117.9,3.62,0.665,0.421,10461.0,1
39.04,118.87,38.3,63.8,4.1,53.5,10.76,0.565,0.238,473.0,1
5.72,34.81,16.3,82.4,2.7,36.7,0.19,0.278,0.07,4915.0,1
40.54,163.34,26.0,43.4,11.4,551.7,0.2,0.14,0.327,2123.0,1
23.31,116.24,27.5,68.8,17.4,10.0,1.95,0.239,0.232,1259.0,1
3.01,9.48,34.6,52.1,16.8,700.7,0.49,0.081,0.019,3539.0,1
76.92,374.7,27.0,41.1,4.2,355.4,10.0,0.185,0.749,2753.0,1
21.51,106.89,23.4,79.5,111.6,10.0,18.9,0.278,0.214,4023.0,1
10.36,48.0,30.5,80.1,24.7,287.3,7.99,0.489,0.096,100.0,0
19.9,120.36,15.9,72.9,13.6,157.8,2.94,0.577,0.241,4273.0,1
9.55,69.9,29.9,71.1,9.8,10.0,2.09,0.185,0.14,2809.0,1
33.53,220.99,32.6,54.6,39.3,12.4,13.62,0.309,0.442,1006.0,1
53.07,300.46,22.3,74.9,1.4,252.9,2.55,0.117,0.601,612.0,1
2.26,13.19,36.4,73.0,0.7,200.6,15.12,0.248,0.026,715.0,0
3.84,18.46,28.2,94.4,22.0,162.7,1.48,0.539,0.037,4975.0,1
19.56,102.84,20.9,84.2,29.8,48.9,0.5,0.211,0.206,792.0,1
19.99,65.83,37.7,48.5,4.8,181.8,5.63,0.128,0.132,1252.0,0
2.2,14.56,18.3,44.8,1.3,449.2,1.07,0.424,0.029,2196.0,0
22.15,74.19,20.7,78.4,4.7,179.7,5.7,0.398,0.148,1427.0,0
16.32,108.58,23.8,73.7,47.4,38.5,5.86,0.351,0.217,4234.0,0
7.16,56.59,28.5,68.5,7.2,25.5,18.28,0.117,0.113,891.0,1
40.0,241.72,20.6,43.8,1.9,51.6,2.09,0.405,0.483,5234.0,2
11.86,71.17,23.7,70.9,37.8,137.4,24.24,0.175,0.142,5102.0,0
22.44,127.04,23.8,52.7,25.6,77.9,0.12,0.264,0.254,1958.0,1
51.22,278.37,28.7,76.4,21.7,38.4,3.49,0.136,0.557,100.0,1
5.29,18.0,25.5,75.7,41.3,417.7,1.63,0.52,0.036,2493.0,0
12.32,40.53,35.5,99.7,0.9,237.5,20.58,0.213,0.081,320.0,0
14.24,113.71,30.6,58.4,14.7,149.7,2.78,0.459,0.227,1375.0,1
35.15,234.39,33.9,86.2,0.2,107.6,3.28,0.16,0.469,100.0,1
19.85,79.28,19.7,78.8,10.4,61.9,0.81,0.182,0.159,4993.0,1
10.03,53.15,31.3,87.1,33.4,621.7,7.73,0.578,0.106,5514.0,0
5.84,40.3,27.9,63.2,9.0,51.5,11.01,0.465,0.081,116.0,1
25.2,84.68,29.6,44.3,0.2,627.0,6.69,0.139,0.169,3249.0,0
3.83,13.36,35.1,55.9,0.3,17.1,17.19,0.313,0.027,691.0,0
5.9,25.38,35.9,44.2,48.2,130.1,11.31,0.178,0.051,1997.0,0
14.71,89.48,29.4,45.7,7.1,159.7,2.46,0.122,0.179,2056.0,0
